file_name,number,case,state,notes
AVG_Reslice of nd716 crop.tif,716,Gck-1,GOOD,
AVG_Reslice of nd717_crop.tif,717,Ccm-3,GOOD,
AVG_Reslice of nd719 crop.tif,719,Gck-1,GOOD,
AVG_Reslice of nd720 crop.tif,720,Gck-1,GOOD,
AVG_Reslice of nd722 crop.tif,722,Ccm-3,GOOD,
AVG_Reslice of nd723 crop.tif,723,Ccm-3,GOOD,
AVG_Reslice of nd724 crop.tif,724,Ccm-3,GOOD,
AVG_Reslice of nd725 crop.tif,725,Ccm-3,GOOD,
AVG_Reslice of nd726 crop.tif,726,Ccm-3,GOOD,
AVG_Reslice of nd730 crop.tif,730,Gck-1,GOOD,
AVG_Reslice of nd732 crop.tif,732,Mel-11,GOOD,
AVG_Reslice of nd733 crop.tif,733,Mel-11,GOOD,
AVG_Reslice of nd734 crop.tif,734,Mel-11,GOOD,Needs to be re-trimmed (to do later)
AVG_Reslice of nd735 crop maybe.tif,735,Unc-59,GOOD,
AVG_Reslice of nd736 crop.tif,736,Unc-59,GOOD,
AVG_Reslice of nd737 crop maybe.tif,737,Unc-59,GOOD,
AVG_Reslice of nd738 crop.tif,738,Let-502,GOOD,
AVG_Reslice of nd739 crop.tif,739,Let-502,GOOD,
AVG_Reslice of nd740 crop.tif,740,Mel-11,GOOD,
AVG_Reslice of nd741 crop.tif,741,Mel-11,GOOD,
AVG_Reslice of nd742 crop.tif,742,Mel-11,GOOD,Needs to be re-trimmed (to do later)
AVG_Reslice of nd743 crop copy.tif,743,Unc-59,GOOD,
AVG_Reslice of nd745 crop.tif,745,Let-502,GOOD,
AVG_Reslice of nd746 crop.tif,746,Let-502,GOOD,
754_K250_K1.tif,754,Plst-1,GOOD,
SUM_755_K250_K1.tif,755,Plst-1,GOOD,
756_K250_K1.tif,756,Plst-1,GOOD,
757avg_k250_K1.tif,757,Plst-1,GOOD,
758_K250_K1.tif,758,Plst-1,GOOD,
AVG_Reslice of nd759 crop.tif,759,Plst-1,GOOD,
760max_K250_K1.tif,760,Plst-1,GOOD,
761_K250_K1.tif,761,Plst-1,GOOD,
